"CAP1"	"CAP2"	"CAP3"	"CAP4"	"Genotype"	"Experiment"
"AMLEAF100Y"	-0.0481383785193759	-0.0381419339274295	0.216086139167909	0.0349727264169085	"Col-0"	"1"
"AMLEAF109Y"	-0.102801218765462	0.0430480046901303	0.14237544566256	0.0499269046054099	"Col-0"	"1"
"AMLEAF113Y"	-0.0703322316101034	0.198888010367955	-0.179566567626172	0.106466969946337	"msa1-3"	"1"
"AMLEAF11A"	0.190505478249763	0.232097360189906	0.0929241232300114	-0.324804381824653	"sultr2;1"	"2"
"AMLEAF11Y"	-0.0589785638111469	-0.216466533013394	-0.073525888670862	-0.22439063598379	"sdi2-1"	"1"
"AMLEAF122Y"	0.254860442605685	-0.0332599447674367	0.0764103438939197	0.159701319654109	"sultr2;2"	"1"
"AMLEAF123Y"	-0.0847148875169234	-0.0314013863365343	-0.208018177314464	-0.108091627597301	"sdi2-1"	"1"
"AMLEAF127Y"	-0.0250121497346042	0.092822492441329	0.140096985837162	0.000246196154453384	"Col-0"	"1"
"AMLEAF12"	-0.170777806254642	-0.144462698664154	0.191803327540134	0.0702977095154741	"Col-0"	"2"
"AMLEAF16A"	-0.24088582815581	0.199395613491997	-0.0739678077482391	0.225354809866031	"msa1-3"	"2"
"AMLEAF19Y"	0.00327552295883931	0.0898289794349588	0.154923192971525	0.098116769116629	"Col-0"	"1"
"AMLEAF1"	0.059881598852342	0.149309923449091	-0.0984906187864338	-0.068773618057749	"msa1-3"	"2"
"AMLEAF25Y"	-0.0304169817235316	-0.105792723068145	-0.121817190138055	-0.224685876360028	"sdi2-1"	"1"
"AMLEAF26A"	0.186744995688424	-0.206316839347115	-0.107929121391084	0.0115103138537811	"sdi2-1"	"2"
"AMLEAF26B"	-0.0726673081288478	-0.0733837235453376	0.199065574805367	0.0467359300562764	"Col-0"	"2"
"AMLEAF27A"	0.418022952225295	-0.0504611856312987	-0.0568447078421296	0.0252514856703672	"sultr2;2"	"2"
"AMLEAF27B"	0.0874399617004948	0.0114307308026524	-0.0362266747196167	0.120145140012729	"msa1-3"	"2"
"AMLEAF27D"	-0.217099017133277	0.0700249690629688	-0.0295817217074768	0.0106194380338915	"msa1-3"	"2"
"AMLEAF29"	0.0290880269158492	-0.0834559061720686	-0.179247006648862	-0.184327520318317	"sdi2-1"	"2"
"AMLEAF30"	-0.17900254641058	-0.0311446201680336	0.219120793681697	0.119564851532617	"Col-0"	"2"
"AMLEAF33B"	-0.226368322049661	0.096145804379555	0.207097364772194	0.201593814856297	"Col-0"	"2"
"AMLEAF34A"	0.062785437859988	-0.232670317026674	-0.085138348769934	-0.0359992692727468	"sdi2-1"	"2"
"AMLEAF34B"	0.222036857122647	0.288654162394103	-0.00403398120699768	-0.257062433778921	"sultr2;1"	"2"
